通用敏感数据,日期,2023/4/19,,
密钥敏感信息,OpenAI APIkey,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,,
密钥敏感信息,GitHub 个人访问令牌,ghp_lkyJGU3jv1xmwk4SDXavrLDJ4dl2pSJMzj4X,,
密钥敏感信息,Bearer Token,Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE2ODAxNjIxNTR9.U9orU6YYqXAtpF8uAiw6MS553tm4XxRzxOhz2IwDhpY,,
密钥敏感信息,AccessKeyId,AKIDW3web9wvWS5X53AzK3B7t0KXriGgblUH,,
,,,,
报错敏感信息,Mysql报错信息,"You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ‘'1'' LIMIT 0,1’ at line 1。",,
报错敏感信息,Oracle报错信息,ORA-00942 table or view does not existd,,
报错敏感信息,SQL Server报错信息,"Microsoft SQL Native Client error ‘80040e14’Unclosed quotation mark after the character string\nSELECT id, name FROM users WHERE id=1 UNION SELECT 1, @@version limit 1, 1",,
报错敏感信息,PHP报错信息,Warning: include_once(./include/main.inc.php) [function.include-once]: failed to open stream: failed to open stream: No such file or directory in,,
报错敏感信息,Fastjson报错信息,"Exception in thread \\\\\\""main\\\""\\\"" com.alibaba.fastjson.JSONException: exepct '[', but ,, pos 42, json : {\\\""\\\""@type\\\""\\\"":\\\""\\\""[com.sun.rowset.JdbcRowSetImpl\\\""\\\"",\\\""\\\""dataSourceName\\\""\\\"":\\\""\\\""ldap://localhost:1389/badNameClass\\\""\\\"", \\\""\\\""autoCommit\\\""\\\"":true}\\n    at com.alibaba.fastjson.parser.DefaultJSONParser.parseArray(DefaultJSONParser.java:675)\\n    at com.alibaba.fastjson.serializer.ObjectArrayCodec.deserialze(ObjectArrayCodec.java:183)\\n    at com.alibaba.fastjson.parser.DefaultJSONParser.parseObject(DefaultJSONParser.java:373)\\n    at com.alibaba.fastjson.parser.DefaultJSONParser.parse(DefaultJSONParser.java:1338)\\n    at com.alibaba.fastjson.parser.DefaultJSONParser.parse(DefaultJSONParser.java:1304)\\n    at com.alibaba.fastjson.JSON.parse(JSON.java:152)\\n    at com.alibaba.fastjson.JSON.parse(JSON.java:162)\\n    at com.alibaba.fastjson.JSON.parse(JSON.java:131)\\n    at NEW_JNDIClient.main(NEW_JNDIClient.java:8)\\""",,
报错敏感信息,Nginx报错信息,<html>\n<head><title>404 Not Found<\/title><\/head>\n<body>\n<center><h1>404 Not Found<\/h1><\/center>\n<hr><center>nginx/1.8.0<\/center>\n<\/body>\n<\/html>,,
报错敏感信息,Apache报错信息,"AH01276: Cannot serve directory \/var\/www/html\/: No matching DirectoryIndex (index.html) found, and server-generated directory index forbidden by Options directive",,
data:,,,,
            {,,,,
"                ""message"": [],",,,,
"                ""total"": 0,",,,,
"                ""api_path"":""{}"".format(user_name),",,,,
"                ""name"":""张三，李四，王五"",",,,,
"                ""phone"": ""14834113307,13868645867"",",,,,
"                ""phone2"":""13919996470,18906503900"",",,,,
"                ""email"":""123@163.com,google@asdas.com"",",,,,
"                ""email2"":""456@163.com,dsadfag@qq.com"",",,,,
"                ""ID"":""110101199108157236,13010319980426041X"",",,,,
"                ""Bank_card"":""6222027183530478298,6222024493338009203"",",,,,
"                ""yapi"":""Mockjs"",",,,,
"                ""yapi_geren"":""yapi"",",,,,
"                ""yapi_weizhi"":""username"",",,,,
"                ""yapi_shebei"":""test"",",,,,
"                ""yapi_qiye"":""enterprise"",",,,,
"                ""yapi_all"":""python"",",,,,
"                ""yapi_api"":""mock"",",,,,
"                ""YApi"":""YApi"",",,,,
"                ""test-user"":""test-user"",",,,,
"                ""ruomima"":""111,222,333,444,555,666,777,123456,，version，test""",,,,
            },,,,
